OTU_ID,Kingdom,Phylum,Class,Order,Family,Genus,Species,High_level_taxonomy,HL_hit_percent_id,HL_hit_query_cover
FOTU_5111,Fungi,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,0,0
FOTU_5112,Fungi,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,0,0
FOTU_5113,Fungi,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,0,0
FOTU_5114,Fungi,Rozellomycota,unidentified,Gs08,unidentified,unidentified,unidentified,unidentified,0,0
FOTU_5115,Fungi,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,0,0
FOTU_5116,Rhizaria,Cercozoa,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,0,0
FOTU_5117,Fungi,Ascomycota,Dothideomycetes,Venturiales,Sympoventuriaceae,Scolecobasidium,unidentified,unidentified,0,0
FOTU_5118,Fungi,Ascomycota,Sordariomycetes,Hypocreales,unidentified,unidentified,unidentified,"Fungi-CCHF65,p__Ascomycota,c__Sordariomycetes,o__Hypocreales,f__,g__Sesquicillium",82.301,100
FOTU_5119,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,0,0
FOTU_5120,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Pleosporaceae,Bipolaris,unidentified,"Fungi-CHH16,p__Ascomycota,c__Dothideomycetes,o__Pleosporales,f__Pleosporaceae,g__Curvularia,s__Curvularia_xishuangbannaensis",86.782,79
FOTU_5121,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,0,0
FOTU_5122,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Bionectriaceae,unidentified,unidentified,"Fungi-CCHF62,p__Ascomycota,c__Eurotiomycetes,o__Eurotiales,f__Aspergillaceae,g__Talaromyces,s__Talaromyces_purpureogenus",87.387,100
FOTU_5123,Fungi,Rozellomycota,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,0,0
FOTU_5124,Viridiplantae,Anthophyta,Eudicotyledonae,Fabales,Fabaceae,Arachis,unidentified,unidentified,0,0
FOTU_5125,Fungi,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,0,0
FOTU_5126,Rhizaria,Cercozoa,unidentified,Cercomonadida,Cercomonadidae,unidentified,unidentified,unidentified,0,0
FOTU_5127,Fungi,Glomeromycota,Glomeromycetes,Entrophosporales,Entrophosporaceae,Entrophospora,unidentified,unidentified,0,0
FOTU_5128,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,0,0
FOTU_5129,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,0,0
FOTU_5130,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,0,0
FOTU_5131,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,0,0
FOTU_5132,Metazoa,Gastrotricha,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,0,0
FOTU_5133,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Hymenogastraceae,Gymnopilus,Gymnopilus fulvosquamulosus ,unidentified,0,0
FOTU_5134,Fungi,Ascomycota,Sordariomycetes,Chaetosphaeriales,Chaetosphaeriaceae,Codinaea,unidentified,unidentified,0,0
FOTU_5135,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,0,0
FOTU_5136,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Psathyrellaceae,unidentified,unidentified,unidentified,0,0
FOTU_5137,Fungi,Basidiomycota,Agaricomycetes,Russulales,Stereaceae,Stereum,unidentified,unidentified,0,0
FOTU_5138,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,0,0
FOTU_5139,Fungi,Zoopagomycota,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,0,0
FOTU_5140,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,0,0
FOTU_5141,Fungi,Ascomycota,Dothideomycetes,Mycosphaerellales,Dissoconiaceae,unidentified,unidentified,unidentified,0,0
FOTU_5142,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,0,0
FOTU_5143,Fungi,Basidiomycota,Agaricomycetes,Hymenochaetales,Schizoporaceae,Echinoporia,Echinoporia hydnophora ,unidentified,0,0
FOTU_5144,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,0,0
FOTU_5145,Fungi,Chytridiomycota,Rhizophydiomycetes,Rhizophydiales,Kappamycetaceae,Kappamyces,unidentified,unidentified,0,0
